time,grf
0,623.1878
0.0078,624.74
0.0156,625.7588
0.0235,626.4734
0.0313,625.6566
0.0391,624.4202
0.0469,624.1451
0.0548,622.2944
0.0626,622.5255
0.0704,622.8154
0.0782,622.3777
0.0861,622.059
0.0939,620.6569
0.1017,620.4728
0.1095,621.0982
0.1173,620.051
0.1252,620.1064
0.133,618.9642
0.1408,617.8984
0.1486,617.7097
0.1565,617.7215
0.1643,616.952
0.1721,617.2575
0.1799,617.3969
0.1877,617.691
0.1956,617.8458
0.2034,618.3727
0.2112,616.8333
0.219,617.4344
0.2269,617.7434
0.2347,617.628
0.2425,617.5516
0.2503,616.8501
0.2582,617.9496
0.266,617.4149
0.2738,616.1734
0.2816,616.9175
0.2894,615.7156
0.2973,615.1409
0.3051,615.8565
0.3129,616.6103
0.3207,616.1712
0.3286,616.827
0.3364,616.2412
0.3442,614.4329
0.352,615.9296
0.3598,615.435
0.3677,616.5962
0.3755,616.1023
0.3833,618.5975
0.3911,618.7766
0.399,620.2285
0.4068,618.756
0.4146,619.3898
0.4224,619.5555
0.4303,619.018
0.4381,619.0927
0.4459,618.5279
0.4537,618.8422
0.4615,619.9217
0.4694,619.08
0.4772,618.8062
0.485,618.6731
0.4928,619.471
0.5007,618.7367
0.5085,619.6368
0.5163,619.247
0.5241,619.7494
0.532,621.4434
0.5398,621.0021
0.5476,620.7186
0.5554,620.6722
0.5632,619.4883
0.5711,618.7068
0.5789,618.7871
0.5867,619.9151
0.5945,618.1036
0.6024,619.907
0.6102,620.6751
0.618,621.4865
0.6258,621.253
0.6336,620.1432
0.6415,620.1725
0.6493,619.8959
0.6571,620.4736
0.6649,619.408
0.6728,620.4648
0.6806,621.5024
0.6884,621.5173
0.6962,622.3002
0.7041,622.5149
0.7119,624.0758
0.7197,622.2225
0.7275,622.1059
0.7353,622.275
0.7432,621.6775
0.751,620.8906
0.7588,620.2306
0.7666,621.7975
0.7745,620.9325
0.7823,620.001
0.7901,621.8175
0.7979,620.4108
0.8058,620.1027
0.8136,620.4666
0.8214,620.4537
0.8292,619.7881
0.837,619.7246
0.8449,618.4484
0.8527,620.036
0.8605,619.0909
0.8683,618.1725
0.8762,615.416
0.884,616.1197
0.8918,615.287
0.8996,615.2231
0.9074,614.975
0.9153,613.8667
0.9231,615.1902
0.9309,615.5293
0.9387,615.6534
0.9466,615.8253
0.9544,615.3365
0.9622,616.842
0.97,617.4014
0.9779,618.508
0.9857,618.97
0.9935,618.7611
1.0013,619.9712
1.0091,620.1405
1.017,620.4931
1.0248,621.58
1.0326,621.9426
1.0404,621.0384
1.0483,623.1758
1.0561,623.135
1.0639,624.3672
1.0717,623.2007
1.0795,624.6133
1.0874,625.2756
1.0952,624.7585
1.103,626.0482
1.1108,624.4004
1.1187,624.8379
1.1265,623.8312
1.1343,623.182
1.1421,620.6125
1.15,619.6828
1.1578,620.355
1.1656,618.9523
1.1734,619.1135
1.1812,619.7761
1.1891,619.6929
1.1969,618.3481
1.2047,617.8217
1.2125,616.3847
1.2204,618.1182
1.2282,616.1015
1.236,616.6569
1.2438,617.4235
1.2517,618.1633
1.2595,618.3791
1.2673,618.2598
1.2751,619.9623
1.2829,619.2656
1.2908,620.1072
1.2986,620.7201
1.3064,619.3507
1.3142,620.7639
1.3221,619.6897
1.3299,620.3793
1.3377,619.9158
1.3455,621.4316
1.3533,621.848
1.3612,620.1845
1.369,621.8737
1.3768,622.3502
1.3846,622.6674
1.3925,623.375
1.4003,622.497
1.4081,621.4329
1.4159,620.2934
1.4238,620.2374
1.4316,618.4669
1.4394,616.6857
1.4472,617.5563
1.455,616.4959
1.4629,616.5441
1.4707,616.6439
1.4785,617.1437
1.4863,618.1106
1.4942,616.4762
1.502,619.1944
1.5098,618.7038
1.5176,619.8541
1.5254,619.0158
1.5333,620.1968
1.5411,621.1047
1.5489,621.5396
1.5567,620.4953
1.5646,619.5245
1.5724,619.9902
