ax,ay,az,gx,gy,gz
0.3405,9.8644,0.63,-0.014,0.0012,0.0095
0.2895,9.872,0.676,-0.0094,-0.0116,0.0097
0.2676,9.8949,0.7401,-0.0081,-0.0115,0.0082
0.259,9.8981,0.8164,-0.0048,-0.0034,0.0049
0.2862,9.8661,0.8322,-0.0036,0.0077,0.0067
0.3549,9.8264,0.8028,0.0043,0.0318,0.0066
0.385,9.7519,0.7402,0.0241,0.0414,0.0121
0.3702,9.7224,0.7189,0.0176,0.0301,0.0138
0.3639,9.7256,0.71,0.0225,0.0221,0.0171
0.3733,9.7639,0.678,0.038,0.0382,0.0157
0.3917,9.7971,0.6575,0.0272,0.0525,0.0169
0.3996,9.8052,0.6455,0.0114,0.059,0.0118
0.4205,9.8075,0.6134,0.0084,0.0573,0.015
0.461,9.7963,0.6046,0.0211,0.059,0.0135
0.4723,9.7744,0.5768,0.0302,0.0557,0.0219
0.4821,9.7701,0.577,0.0335,0.0396,0.0236
0.4796,9.7842,0.5793,0.0366,0.0364,0.0237
0.4942,9.7897,0.5659,0.04,0.0269,0.0188
0.4964,9.7656,0.5634,0.0415,0.0204,0.0238
0.4871,9.7417,0.5678,0.0476,0.0222,0.0175
0.481,9.7187,0.5864,0.0461,0.035,0.019
0.4789,9.7166,0.6109,0.0392,0.0477,0.0191
0.4755,9.7131,0.6114,0.0334,0.038,0.0237
0.4733,9.706,0.6067,0.0303,0.0397,0.0187
0.4476,9.7156,0.5974,0.0133,0.0332,0.0216
0.4152,9.7279,0.5974,0.001,0.0316,0.0148
0.3965,9.7303,0.6319,-0.0083,0.0188,0.0146
0.3851,9.7401,0.6619,-0.0084,0.0347,0.0211
0.4087,9.7355,0.6621,-0.0099,0.0539,0.0209
0.4152,9.7255,0.6642,-0.0085,0.0589,0.0128
0.4437,9.7331,0.637,-0.0067,0.0573,0.0128
0.4565,9.7391,0.5859,-0.0069,0.0571,0.0194
0.4715,9.7664,0.5257,0.0038,0.0525,0.0133
0.5035,9.7537,0.5173,0.0105,0.0461,0.0148
0.5533,9.7138,0.5098,0.0301,0.0493,0.0171
0.6307,9.6782,0.5056,0.0274,0.0462,0.012
0.6782,9.6407,0.4705,-0.0008,0.0414,0.005
0.6717,9.6246,0.4568,-0.0129,0.0157,0.0064
0.6577,9.6604,0.4937,-0.0298,0.0045,0.0044
0.6362,9.6838,0.5166,-0.0516,0.0043,0.0055
0.6043,9.7253,0.5469,-0.0714,0.0042,0.0065
0.6434,9.7629,0.607,-0.0791,0.0219,0.003
0.6364,9.7486,0.5816,-0.1084,0.0073,0.004
